Id,Name,Mime type,Score,Deleted at,Library reference,Url,Checked on,AlternativeText:2,Contrast:2,HeadingsHigherLevel:3,HeadingsPresence:2,HeadingsSequential:3,HeadingsStartAtOne:3,HtmlBrokenLink:2,HtmlCaption:2,HtmlColorContrast:2,HtmlDefinitionList:3,HtmlEmptyHeading:2,HtmlEmptyTableHeader:2,HtmlHasLang:3,HtmlHeadingOrder:3,HtmlHeadingsPresence:2,HtmlHeadingsStart:2,HtmlImageAlt:2,HtmlImageRedundantAlt:3,HtmlLabel:2,HtmlLinkName:3,HtmlList:3,HtmlObjectAlt:2,HtmlTdHasHeader:2,HtmlTitle:3,ImageContrast:2,ImageDecorative:2,ImageDescription:2,ImageOcr:3,ImageSeizure:1,LanguageCorrect:3,LanguagePresence:3,Ocred:2,Parsable:1,Scanned:1,Security:1,TableHeaders:2,Tagged:2,Title:3
OG9cVAqJJzydi11978kqt4MqcX4WdEfriH+R+giyFB8=,1.-Protect-Our-Pack-Task-Force-Presentation.pdf,application/pdf,0.5361625,2/18/2024 19:25,,,4/1/2022 20:16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QzDB69ivWdlf3d9ifBKgUr3DgOjVxid9+beJg+bMmlA=,1.-Protect-Our-Pack-Task-Force-Presentation.pdf,application/pdf,0.5361625,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/1.-Protect-Our-Pack-Task-Force-Presentation.pdf,4/1/2022 20:16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6VBYJRAn1hJjLOhGLbryUDyaS7/RemlTDX9/HquaKeA=,1211081.pdf,application/pdf,0.1165,2/18/2024 19:23,,,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
zs7oY7soJ8b672uM9UdwQGLBjAge2Ni8G9whlvfC/90=,1211081.pdf,application/pdf,0.1165,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/1211081.pdf,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
+4BemsQEk07ggA2b7RwW2Up46c0aDjEly2bLbLw34uU=,2.-Womens-Center-Presidents-Taskforce-Presentation.pdf,application/pdf,0.596798525,2/18/2024 19:12,,,4/1/2022 20:17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TVdFVnj+QbZjYFjVib9AqJWlSZOlb7eokZ8y+1hMttE=,2.-Womens-Center-Presidents-Taskforce-Presentation.pdf,application/pdf,0.596798525,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2.-Womens-Center-Presidents-Taskforce-Presentation.pdf,4/1/2022 20:17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0OE+eC+RHTjcSiXck9KRmIXnPM1ehiBdgrsqHMcYHn8=,2008-Charitable-Campaign.pdf,application/pdf,0.078055,2/18/2024 19:01,,,3/15/2022 11:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
/eTqo4QW8iX8o0IDJtouEAZRtTdAH5FC6kpCCW1/rYE=,2008-Charitable-Campaign.pdf,application/pdf,0.078055,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2008-Charitable-Campaign.pdf,3/15/2022 11:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
uV8Dsv5X+8pG3vsJd/0iZlCrMVvsEMUcHHgr59ZrcO8=,2013-01-17-SH-Sexual-Assault-Letter.pdf,application/pdf,0,2/18/2024 19:16,,,3/15/2022 11:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
v6CWpvA3IN4rR5ioAR1NU07la0z+2dr4UBzb+n5D3Sg=,2013-01-17-SH-Sexual-Assault-Letter.pdf,application/pdf,0,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2013-01-17-SH-Sexual-Assault-Letter.pdf,3/15/2022 11:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
yGsq8nVsBvOOi5WW2nbKiApVHCVNQ7x2HLX9Ilp8hc4=,2013-04-26-SH-Statement-on-Student-Freedom-of-Expression.pdf,application/pdf,0,2/18/2024 19:16,,,12/24/2023 20:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3WSYfoqlqd8GOeAZiK98YzGeYNiaWdq9jsExXkt6D+Q=,2013-04-26-SH-Statement-on-Student-Freedom-of-Expression.pdf,application/pdf,0,,,https://president.media.uconn.edu/wp-content/uploads/sites/2794/2019/05/2013-04-26-SH-Statement-on-Student-Freedom-of-Expression.pdf,12/24/2023 20:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S7WEZYMrWCdt3GNbgZQWVV6jYF0Ca5JqhGlJLNLDA2w=,2014-02-07-Civility-Task-Force-Message-to-Campus-signed.pdf,application/pdf,0.505132564,2/18/2024 19:25,,,3/15/2022 11:33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vvRisqL6j/tMJMlYiAsIXtEih1CNqplPB7MqQnOD2LI=,2014-02-07-Civility-Task-Force-Message-to-Campus-signed.pdf,application/pdf,0.505132564,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-02-07-Civility-Task-Force-Message-to-Campus-signed.pdf,3/15/2022 11:33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YpwLbida/ZTzroMaaP4Zjb9g3LhoBiHssHaqsGVFe1g=,2014-06-UConn-Ombuds-Charter-Amended.pdf,application/pdf,0.069,2/18/2024 19:16,,,3/15/2022 11:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
mlVWlG9yV1hFbOvxY8tWVvDlrmSMOZJH/o3lZtWSqVU=,2014-06-UConn-Ombuds-Charter-Amended.pdf,application/pdf,0.069,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-06-UConn-Ombuds-Charter-Amended.pdf,3/15/2022 11:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MkgL3Q96jik1WlU8RKIJTQz5/x6r/KdKFcLftHaw3XU=,2014-09-25-Letter-to-SFS.pdf,application/pdf,0,2/18/2024 19:24,,,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/O515ynxYvvRDURAWeEQPNj1XcsAasqU8XF9a4QcmD4=,2014-09-25-Letter-to-SFS.pdf,application/pdf,0,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-09-25-Letter-to-SFS.pdf,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LAhgvR+WRWwRSJXCnsolvDzBHjVfPXWZOO/Atw7T50I=,2014-10-16-SH-State-of-the-University-FINAL.pdf,application/pdf,0.5171625,2/18/2024 19:01,,,3/15/2022 11:34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uLhPQINx6sMhgvIHCtClYbzBs/HE1uvRmK5i533DoNM=,2014-10-16-SH-State-of-the-University-FINAL.pdf,application/pdf,0.5171625,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-10-16-SH-State-of-the-University-FINAL.pdf,3/15/2022 11:34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HgksfpMzuQDopVH31FDvoWBZAsSMy78AsY9OjZ1u1P4=,2014-11-19-Herbst-Letter-to-the-Community.pdf,application/pdf,0,2/18/2024 19:15,,,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ufpW/omXh0C9vCZJKk21m1mRbp73V25DSBe7V4D15ZQ=,2014-11-19-Herbst-Letter-to-the-Community.pdf,application/pdf,0,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-11-19-Herbst-Letter-to-the-Community.pdf,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hk9qYSG1EGeM6lfn/V8wfe9CwthlzbCLF4ohRPJg8lY=,2015-08-Diversity-Report.pdf,application/pdf,0.454607978,2/18/2024 19:01,,,9/11/2019 7:33,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
D4mybhisBQ68y7xr8EOvIzT2UxQidY9IWumcqZKo0/E=,2015-08-Diversity-Report.pdf,application/pdf,0.454607978,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2015-08-Diversity-Report.pdf,9/11/2019 7:33,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
oDuRnD/WDGlP7bLSfmpSjQJljiUq7eKNGXzjc82fxCs=,2015-12-31-Diversity-Council-REVISED.pdf,application/pdf,0.9905,2/18/2024 19:16,,,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pl4PrLPYR+dCBJfY4pvx/sD3HkqowCq80be4fbDVAHw=,2015-12-31-Diversity-Council-REVISED.pdf,application/pdf,0.9905,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2015-12-31-Diversity-Council-REVISED.pdf,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JU1fDh6x1WpDLOVuWEslxxH/XIQR5os7zA5xETM99fc=,2016-11-16-Thanksgiving-Memo-to-UConn-Community.pdf,application/pdf,0.910856164,2/18/2024 19:16,,,3/15/2022 11:31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4lg8j9BzERMI3olsYizDhl8WlIJXsOH8zf3NzFgK+mw=,2016-11-16-Thanksgiving-Memo-to-UConn-Community.pdf,application/pdf,0.910856164,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2016-11-16-Thanksgiving-Memo-to-UConn-Community.pdf,3/15/2022 11:31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P26zUlkcjTy8DF69jO2zeIkqoYbEzxQWxzrrzEGEQDQ=,2016-12-06-Herbst-Letter-to-the-Community.pdf,application/pdf,0.309588914,2/18/2024 19:15,,,9/11/2019 0:01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fvwB0Lkd5zPQ4gshGUCSBoyNOgd5DnVc7OgiSqAYMcw=,2016-12-06-Herbst-Letter-to-the-Community.pdf,application/pdf,0.309588914,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2016-12-06-Herbst-Letter-to-the-Community.pdf,9/11/2019 0:01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gC6U5zVhKghPW/NF/rHkvccNy++iyTzwbnHK2ujTY0M=,2017-02-02-Herbst-Message-to-the-Community.pdf,application/pdf,0.909208099,2/18/2024 19:14,,,9/11/2019 4:32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rDuFuxB/WP0DLHNKKTJB4Lp3qflAz1nHF/kjhg/6CJE=,2017-02-02-Herbst-Message-to-the-Community.pdf,application/pdf,0.909208099,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2017-02-02-Herbst-Message-to-the-Community.pdf,9/11/2019 4:32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bii0M6fFXeNDMj5wAL9HMUrCwnhsG0KwV8ZAcRbJJR8=,2017-08-16-Message-to-the-Community-Charlotsville.pdf,application/pdf,0.489928812,2/18/2024 19:12,,,3/15/2022 11:34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0TS5ebBCA7A2czuR9XfjXOkzCiTKwCxTLtAsbJKnWNU=,2017-08-16-Message-to-the-Community-Charlotsville.pdf,application/pdf,0.489928812,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2017-08-16-Message-to-the-Community-Charlotsville.pdf,3/15/2022 11:34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ijspXreTPx+5PUW+A3x8MGO+cK/G0auy9oKl04KSH44=,2017-08-29-Herbst-Welcome-Message-to-the-Community.pdf,application/pdf,0.298883747,2/18/2024 19:16,,,9/11/2019 4:53,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93/ejcVFdGG79tZsDmhBRPwg0hehR/cqDxUYnrkbjeM=,2017-08-29-Herbst-Welcome-Message-to-the-Community.pdf,application/pdf,0.298883747,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2017-08-29-Herbst-Welcome-Message-to-the-Community.pdf,9/11/2019 4:53,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BG48OQ81EQnVK5j/QG90LkBpaiwf806QVou52JnUvQA=,2019-10-30-Race-and-Diversity-Council.pdf,application/pdf,0.9905,2/18/2024 19:16,,,11/6/2019 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lsRNphdGTqDqq/O/yz4vnDfiVbXBllgEb6/bZelB5LY=,2019-Chief-Diversity-Officer-Search.pdf,application/pdf,0.981,2/18/2024 19:11,,,6/6/2020 17:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CkMoL7T2N30OLqmg+Opv5QDAhhEGH6THJ+vOjkrVwbo=,2019-Chief-Diversity-Officer-Search.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Chief-Diversity-Officer-Search.pdf,6/6/2020 17:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
X294Pp365Cuc52gwV6ByAWbb4vfIRLrqfGQIL7Y/fmQ=,2019-Committee-Presidents-Council-Race-Diversity.pdf,application/pdf,0.981,2/18/2024 19:25,,,6/6/2020 17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UQ1luN17KL0qAx6QxT+cW7v9GKDWy8Hv9mU08V0j7UY=,2019-Committee-Presidents-Council-Race-Diversity.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Committee-Presidents-Council-Race-Diversity.pdf,6/6/2020 17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
+9KZD6jolEkoB6Cp2BYXFRXBXrqGCA0yUkRMGRmq8TM=,2019-Day-One.pdf,application/pdf,0.981,2/18/2024 19:01,,,6/6/2020 17:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y0R2ljy1VBHtuFV1rNF3mTxAlCXCSYbmFFMapGQh6Kg=,2019-Day-One.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Day-One.pdf,6/6/2020 17:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IJEpM7vnjOObethvhi4pUwWHa0zUt0O+O4fLiMKuftA=,2019-Employee-Townhall.pdf,application/pdf,0.981,2/18/2024 19:16,,,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O9YfzfoAj0pWBLdb++Gp/r7TdH4x5Mxp0WeQ5weK7sQ=,2019-Employee-Townhall.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Employee-Townhall.pdf,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hpqsqaycihLajUvD9RYLbZcNcSBDudu363PrGfcDBHo=,2019-Happy-holidays-fromUConn.pdf,application/pdf,0.981,2/18/2024 19:16,,,6/6/2020 17:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2xDq6lD+RsHXZUvq2KhRLnOpt5gXj0FgRGqLHYO8Wjs=,2019-Happy-holidays-fromUConn.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Happy-holidays-fromUConn.pdf,6/6/2020 17:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gFjtyV2/jRGI+RPbh/YmD4Tzp6FRA4r+Ng3QMwB6hWc=,2019-Provost-Search-Committee-V2.pdf,application/pdf,0.069,2/18/2024 19:01,,,12/5/2019 3:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3miiyb5/fZIT+9EKKf7hL50d9wR09yJl3i98jXm3Mzw=,2019-Provost-Search-Committee-V2.pdf,application/pdf,0.069,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Provost-Search-Committee-V2.pdf,12/5/2019 3:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
b2ETtkKiyK6rUufWAfa1vVM/SDXuO7cX75wWXDz0cQU=,2019-Provost-Search-Committee.pdf,application/pdf,0.069,2/18/2024 19:15,,,9/18/2019 8:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1NEo5dPKKqIMPdn6RCfl0ws/txHnzfGcDoN4yCIFrTM=,2019-Provost-Search-Committee.pdf,application/pdf,0.069,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Provost-Search-Committee.pdf,9/18/2019 8:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4n3XKtgZ/EhPeI9J36ZjUyAcseWu6Xk4t/qFoOvMZt4=,2019-UConn-Student-Named-Rhodes-Scholar.pdf,application/pdf,0.981,2/18/2024 19:12,,,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
z1pFfQ/C6ygCVntVgMEe+TZFqLodwl1AoLYI1lbere8=,2019-UConn-Student-Named-Rhodes-Scholar.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-UConn-Student-Named-Rhodes-Scholar.pdf,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
v91xwYoRheyEKhfH1z1Qy5BYFXhGYkpjTRjAiD1RmNE=,2020-07-24-Defund-UConn-Police-1.pdf,application/pdf,0.068124791,2/18/2024 19:13,,,9/6/2020 10:23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9K5hHbsw87BV2wp+giAB7kXQxEpvZTu8ASe79n4vLpQ=,2020-07-24-Defund-UConn-Police-1.pdf,application/pdf,0.068124791,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-07-24-Defund-UConn-Police-1.pdf,9/6/2020 10:23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
XUbjCnPZ+t5lyl7Mc39NYSfjDdob31BskWbPYEelvKA=,2020-10-21-Proposal-to-Admit-for-Fixed-Period-of-Stay.pdf,application/pdf,0.068119753,2/18/2024 19:14,,,11/12/2020 11:12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
v0OBs/Xpag9/zkz3Qp9zPwTiaw+ZEyG9r0qFdHF+/Os=,2020-10-21-Proposal-to-Admit-for-Fixed-Period-of-Stay.pdf,application/pdf,0.068119753,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-10-21-Proposal-to-Admit-for-Fixed-Period-of-Stay.pdf,11/12/2020 11:12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
c9zGMZ0Fr6swQovL9zV2zyfyhqsPZnAisqlcBxBhxDs=,2020-Mental-Health-Wellbeing-Our-Students.pdf,application/pdf,0.981,2/18/2024 19:14,,,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sS1fB0e49i+QDDihtu8DhBOIkCPZAULVpQj4tGV7Ftg=,2020-Mental-Health-Wellbeing-Our-Students.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-Mental-Health-Wellbeing-Our-Students.pdf,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ci+ckLpy/7OORayLcBk0oBk7NFfov1qA6jHuR31/ipI=,2020-Preparing-COVID19.pdf,application/pdf,0.981,2/18/2024 19:00,,,6/6/2020 17:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d7dUlOVXXV8esgKEPQyz0GnsOs2Lky9otIdW5kb3DA8=,2020-Preparing-COVID19.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-Preparing-COVID19.pdf,6/6/2020 17:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mdugz6yI7wC6oNhWo4a0Qt477AzU5Sb5mXR8+w/oB3c=,2020-Provost-Law-Dean-Annoucement.pdf,application/pdf,0.981,2/18/2024 19:15,,,6/6/2020 17:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fc3Z59mMqIYmetiQlWJaCYcpMqWJ9COxPyEw9s5Q2n4=,2020-Provost-Law-Dean-Annoucement.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-Provost-Law-Dean-Annoucement.pdf,6/6/2020 17:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q4pVEWzzUo85lsDG4IYNU44Zyimb0JUAU1RGTuXd2NQ=,2020-Reminder-SeekingYourBestIdeas.pdf,application/pdf,0.981,2/18/2024 19:16,,,6/6/2020 17:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hzt6z1F6O601PPn5ptRBjAZ2LYnLFHCMLXtzovb0uIs=,2020-Reminder-SeekingYourBestIdeas.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-Reminder-SeekingYourBestIdeas.pdf,6/6/2020 17:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vcGMIjSd3fG0xQRfN/0ImNkgEjWZi3MDG/4D/SVQxnE=,2020-Virtual-Townhall-International-Students.pdf,application/pdf,0.981,2/18/2024 19:13,,,6/6/2020 17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
